name,latitude,longitude,empty_slots,free_bikes,banking,ebikes,last_updated,payment-terminal,renting,returning,slots,uid,timestamp,occupancy_rate
Gare du Nord - Hôpital Lariboisière,48.881949,2.352339,47,1,False,1,1970-01-01 00:00:01.697702118+00:00,False,1,1,49,10107,2023-10-19 08:13:56.827000+00:00,95.91836734693877
Legendre - Clichy,48.88896161855884,2.322528975094376,39,0,True,0,1970-01-01 00:00:01.697702119+00:00,True,1,1,40,17004,2023-10-19 08:13:58.426000+00:00,97.5
Quai de la Seine,48.884492238407525,2.370394170284272,20,3,True,2,1970-01-01 00:00:01.697702163+00:00,True,1,1,24,19003,2023-10-19 08:13:58.301000+00:00,83.33333333333334
Cité Riverin - Château d'Eau,48.87070242355431,2.358739863900845,14,3,True,1,1970-01-01 00:00:01.697702203+00:00,True,1,1,18,10008,2023-10-19 08:13:58.613000+00:00,77.77777777777779
Mutualité,48.848225572724,2.3502873256803,37,0,True,0,1970-01-01 00:00:01.697702138+00:00,True,0,0,37,5018,2023-10-19 08:13:57.225000+00:00,100.0
Rossini - Laffitte,48.87334627510507,2.337980867701675,7,24,False,10,1970-01-01 00:00:01.697702115+00:00,False,1,1,33,9022,2023-10-19 08:13:58.502000+00:00,21.21212121212121
Pyrénées - Emmery,48.872010281270974,2.392039597034455,38,2,False,1,1970-01-01 00:00:01.697702168+00:00,False,1,1,40,20042,2023-10-19 08:13:58.469000+00:00,95.0
Diderot - Reuilly,48.847208456061,2.3861273378134,24,19,True,5,1970-01-01 00:00:01.697702140+00:00,True,1,1,44,12161,2023-10-19 08:13:57.156000+00:00,54.54545454545454
Saint-Ambroise - Parmentier,48.862147844548,2.3772348091006,33,4,True,0,1970-01-01 00:00:01.697702098+00:00,True,1,1,38,11027,2023-10-19 08:13:58.533000+00:00,86.8421052631579
Belidor - Gouvion-Saint-Cyr,48.88022154052015,2.2854680567979813,38,1,True,0,1970-01-01 00:00:01.697702177+00:00,True,1,1,39,17043,2023-10-19 08:13:56.504000+00:00,97.43589743589743
Place Balard,48.836395736424,2.2784192115068,1,36,True,7,1970-01-01 00:00:01.697702160+00:00,True,1,1,22,15056,2023-10-19 08:13:56.707000+00:00,4.545454545454546
Place de Rhin et Danube,48.88192765861766,2.392586767673493,17,0,False,0,1970-01-01 00:00:01.697702119+00:00,False,1,1,17,19026,2023-10-19 08:13:56.645000+00:00,100.0
Roquette - Thiéré,48.85507930579506,2.3733686318721463,18,4,True,0,1970-01-01 00:00:01.697701930+00:00,True,1,1,23,11002,2023-10-19 08:13:57.811000+00:00,78.26086956521739
Berri - Haussmann,48.874746047357135,2.3082953318953514,6,28,False,11,1970-01-01 00:00:01.697702009+00:00,False,1,1,35,8034,2023-10-19 08:13:58.732000+00:00,17.142857142857142
Saint-Maur - Roquette,48.85868877406296,2.383553994571467,41,4,True,3,1970-01-01 00:00:01.697701966+00:00,True,1,1,46,11023,2023-10-19 08:13:58.693000+00:00,89.13043478260869
11 Novembre 1918 - 8 Mai 1945,48.80889533774377,2.5382421165704727,15,21,False,9,1970-01-01 00:00:01.697702189+00:00,False,1,1,36,45003,2023-10-19 08:13:57.421000+00:00,41.66666666666667
Place Du Général De Gaulle,48.8687591,2.4329931,25,0,False,0,1970-01-01 00:00:01.697702152+00:00,False,1,1,26,31009,2023-10-19 08:13:58.588000+00:00,96.15384615384616
Exelmans - Versailles,48.84097491091973,2.264390252530575,29,16,True,8,1970-01-01 00:00:01.697702039+00:00,True,1,1,49,16039,2023-10-19 08:13:57.877000+00:00,59.183673469387756
Pereire - Rennequin,48.88364782887555,2.2952447086572647,19,1,True,0,1970-01-01 00:00:01.697702023+00:00,True,1,1,23,17030,2023-10-19 08:13:56.486000+00:00,82.6086956521739
Port-Royal - Hôpital du Val-de-Grâce,48.837668272811,2.3448138346607,13,4,True,3,1970-01-01 00:00:01.697702199+00:00,True,1,1,18,13001,2023-10-19 08:13:57.497000+00:00,72.22222222222221
Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,26,0,False,0,1970-01-01 00:00:01.697702029+00:00,False,1,1,27,12111,2023-10-19 08:13:58.260000+00:00,96.29629629629629
Gare d'Austerlitz,48.842524,2.364044,6,7,True,4,1970-01-01 00:00:01.697702218+00:00,True,1,1,14,13014,2023-10-19 08:13:58.360000+00:00,42.857142857142854
Desaix - Edgar Faure,48.852804604940296,2.293077029857222,6,5,True,1,1970-01-01 00:00:01.697702142+00:00,True,1,1,12,15067,2023-10-19 08:13:57.394000+00:00,50.0
Delphine Seyrig - Général Leclerc,48.893923963057865,2.39790290594101,47,4,False,1,1970-01-01 00:00:01.697702042+00:00,False,1,1,53,19043,2023-10-19 08:13:58.878000+00:00,88.67924528301887
Panthéon - Valette,48.84702057165222,2.3464982619671075,19,20,False,7,1970-01-01 00:00:01.697702222+00:00,False,1,1,39,5032,2023-10-19 08:13:58.169000+00:00,48.717948717948715
Square Simon Bolivar,48.8750898883217,2.382630407810212,22,1,False,1,1970-01-01 00:00:01.697701894+00:00,False,1,1,24,19101,2023-10-19 08:13:58.161000+00:00,91.66666666666666
Récollets - Square Villemin,48.87503465588394,2.359801238597928,13,3,False,2,1970-01-01 00:00:01.697702129+00:00,False,1,1,17,10016,2023-10-19 08:13:57.481000+00:00,76.47058823529412
Amelot - Saint-Sébastien,48.86114216276092,2.367799618107727,25,4,False,2,1970-01-01 00:00:01.697702093+00:00,False,1,1,30,11047,2023-10-19 08:13:58.352000+00:00,83.33333333333334
Saint-François-Xavier,48.85154484769,2.3146149516106,0,42,True,9,1970-01-01 00:00:01.697702212+00:00,True,1,1,42,7014,2023-10-19 08:13:58.016000+00:00,0.0
Place Marcel Cachin,48.81411442356866,2.39090770483017,0,31,True,4,1970-01-01 00:00:01.697702184+00:00,True,1,1,32,42014,2023-10-19 08:13:57.794000+00:00,0.0
Pyramide - Ecole du Breuil ,48.82237977153955,2.4586871266365056,29,5,False,2,1970-01-01 00:00:01.697702029+00:00,False,1,1,34,12128,2023-10-19 08:13:58.511000+00:00,85.29411764705883
Liège - Moscou,48.8795431,2.3264628,15,2,False,2,1970-01-01 00:00:01.697702+00:00,False,1,1,17,8010,2023-10-19 08:13:58.337000+00:00,88.23529411764706
Mairie de Montreuil,48.86131452758348,2.440614402294159,37,13,True,11,1970-01-01 00:00:01.697702150+00:00,True,1,1,52,31022,2023-10-19 08:13:57.827000+00:00,71.15384615384616
Richard Lenoir - Republique,48.8667175,2.3692541,58,0,True,0,1970-01-01 00:00:01.697702003+00:00,True,1,1,58,11113,2023-10-19 08:13:56.592000+00:00,100.0
Fabre d'Eglantine - Place de la Nation,48.8471116,2.3956204,46,22,True,5,1970-01-01 00:00:01.697702219+00:00,True,1,1,68,12157,2023-10-19 08:13:58.704000+00:00,67.64705882352942
Cimetière de Montmartre,48.886472466142,2.3328901827335,41,2,True,2,1970-01-01 00:00:01.697702159+00:00,True,1,1,43,18003,2023-10-19 08:13:56.471000+00:00,95.34883720930233
Bagnolet - Orteaux,48.85708641027236,2.39841252565384,35,1,True,1,1970-01-01 00:00:01.697702155+00:00,True,1,1,36,20015,2023-10-19 08:13:58.630000+00:00,97.22222222222221
Anatole France - President Roosevelt,48.9155156,2.3814103,17,8,True,7,1970-01-01 00:00:01.697702042+00:00,True,1,1,29,33017,2023-10-19 08:13:58.488000+00:00,58.620689655172406
Henry Farman,48.83372430280548,2.271385453641414,2,14,False,9,1970-01-01 00:00:01.697702208+00:00,False,1,1,16,15042,2023-10-19 08:13:56.527000+00:00,12.5
